city,x,y,country,iso2,admin_name,capital,population,population_proper
AstromerΓ­tis,35.141,33.0379,Cyprus,CY,LefkosΓ­a,,,
LΓ½mpia,34.9989,33.4617,Cyprus,CY,LefkosΓ­a,,,
AkΓ΅ki,35.1334,33.1287,Cyprus,CY,LefkosΓ­a,,,
TΓ­mi,34.7328,32.5163,Cyprus,CY,PΓ΅fos,,,
Prodromi,35.0273,32.4178,Cyprus,CY,PΓ΅fos,,,
MavrolΓ­,35.0521,32.4531,Cyprus,CY,PΓ΅fos,,,
PΓ³lis,35.0353,32.4258,Cyprus,CY,PΓ΅fos,,,
PalaiomΓ©tocho,35.1249,33.191,Cyprus,CY,LefkosΓ­a,,,
AlΓ΅mpra,34.989,33.3989,Cyprus,CY,LefkosΓ­a,,,
AgΓ­a NΓ΅pa,34.9894,33.9977,Cyprus,CY,AmmΓ³chostos,,,
Γgios MΓ©mnon,35.0869,33.9667,Cyprus,CY,AmmΓ³chostos,,,
AgΓ­a VarvΓ΅ra,34.9969,33.3695,Cyprus,CY,LefkosΓ­a,,,
AredioΓΊ,35.0484,33.1961,Cyprus,CY,LefkosΓ­a,,,
MosfilotΓ­,34.9526,33.4251,Cyprus,CY,LΓ΅rnaka,,,
KlΓ­rou,35.02,33.1781,Cyprus,CY,LefkosΓ­a,,,
PsevdΓ΅s,34.9465,33.4628,Cyprus,CY,LΓ΅rnaka,,,
Γrmou,34.7996,32.4782,Cyprus,CY,PΓ΅fos,,,
Γgios IoΓ΅nnis,35.1375,32.7667,Cyprus,CY,LefkosΓ­a,,,
KazΓ΅fani,35.3131,33.3491,Cyprus,CY,KerΓ½neia,,,
EliΓ΅,35.3322,33.2193,Cyprus,CY,KerΓ½neia,,,
EliΓ΅,35.1327,32.9125,Cyprus,CY,LefkosΓ­a,,,
PlatΓ΅ni,35.333,33.7518,Cyprus,CY,AmmΓ³chostos,,,
KampylΓ­,35.3014,33.1075,Cyprus,CY,KerΓ½neia,,,
KormakΓ­tis,35.343,33.01,Cyprus,CY,KerΓ½neia,,,
LΓ©fka,35.112,32.85,Cyprus,CY,LefkosΓ­a,,,
