NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
GR,300,38023300,Greece,38.5,23.5,38023,1460002.557,1634111.887,1786821.015,1927839.556,17537.45317,20890.30324,29051.14665,40032.53879,14581.40156,17754.65421,24462.93454,33440.91506
GR,300,38024300,Greece,38.5,24.5,38024,35078.93802,39281.32844,42970.04979,46381.03558,458.653199,489.5268824,567.4325992,767.7171764,381.3442241,416.0485571,477.8147554,641.3074381
GR,300,38025300,Greece,38.5,25.5,38025,6058.371701,6264.123956,6326.985738,6306.226984,42.60734296,47.72064689,61.20269258,76.29827885,35.42559864,40.55774463,51.53660475,63.73525986
GR,300,38026300,Greece,38.5,26.5,38026,48543.061,50200.4861,50709.62959,50543.51294,364.3986873,396.0142219,485.7719662,604.5162037,302.9769224,336.572212,409.0512486,504.9785908
GR,300,39019300,Greece,39.5,19.5,39019,105280.0945,104475.7496,101276.5611,96864.36752,1173.494937,1070.682323,1126.627792,1135.778982,975.6947451,909.972162,948.6930845,948.7654196
GR,300,39020300,Greece,39.5,20.5,39020,364185.8705,330603.1255,293612.145,257599.191,2953.949579,2749.613377,3075.716454,3076.168872,2456.042197,2336.894498,2589.951137,2569.657211
GR,300,39021300,Greece,39.5,21.5,39021,333106.9939,318358.683,297763.0197,275313.659,3218.820347,2786.849119,2479.317595,2739.868393,2676.267276,2368.541129,2087.744927,2288.730842
GR,300,39022300,Greece,39.5,22.5,39022,559552.5541,538074.0144,505885.7348,469757.6933,6065.161241,5523.077137,5423.21629,5889.486785,5042.838931,4694.05942,4566.69703,4919.743621
GR,300,39023300,Greece,39.5,23.5,39023,55459.16179,53930.29374,51310.93972,48254.15873,640.8033097,589.3428392,579.3351775,639.2209604,532.7917509,500.8820695,487.8374921,533.9689785
GR,300,39024300,Greece,39.5,24.5,39024,1173.004286,1131.797778,1068.014187,994.5843662,13.53257036,12.21249296,11.49267979,12.75398575,11.25156775,10.37938928,9.67757579,10.65395718
GR,300,39025300,Greece,39.5,25.5,39025,20137.41229,20824.23393,21038.83241,20970.23974,241.4624031,217.1868704,183.1630291,223.9595371,200.7623472,184.5869702,154.2350547,187.08311
GR,300,39026300,Greece,39.5,26.5,39026,79393.5111,82104.99345,82940.60804,82667.26772,951.9866657,856.3160896,722.0768106,882.8760775,791.5231316,727.7824495,608.0351308,737.5046603
GR,300,40020300,Greece,40.5,20.5,40020,16968.03462,15321.59091,13583.8479,12028.69798,145.7279687,133.7330899,141.8696942,149.6571875,121.1645733,113.6596602,119.46341,125.0151364
GR,300,40021300,Greece,40.5,21.5,40021,286202.4346,300308.5924,307882.1771,311503.4981,3514.304132,3339.046276,3284.60755,3857.748357,2921.945351,2837.853109,2765.850879,3222.544436
